loyalty_number,total_points_accumulated,total_points_redeemed
459999,35447.0,694.0
238233,34793.0,0.0
819569,54941.0,973.0
654817,56000.0,1320.0
344121,63370.0,2786.0
616835,179916.0,459.0
234973,58866.0,977.0
713132,94713.0,972.0
150383,71385.0,489.0
730008,0.0,0.0
474305,92768.0,2510.0
551248,42303.0,2672.0
843919,22012.0,0.0
535233,40483.0,2717.0
538877,90718.0,1164.0
927887,53439.0,1268.0
663382,50614.0,739.0
975477,50717.0,655.0
952911,22496.0,851.0
197890,61973.0,909.0
719300,10634.0,493.0
175528,53665.0,1188.0
260726,68633.0,1003.0
331184,39711.0,0.0
243018,54041.0,0.0
718922,56465.0,789.0
810028,47882.0,1016.0
456117,58328.0,957.0
904669,52276.0,1505.0
916358,37848.0,532.0
283980,41920.0,460.0
998072,44291.0,0.0
257981,69111.0,3981.0
591758,56269.0,1058.0
547213,49139.0,495.0
584782,31433.0,1243.0
873551,33252.0,0.0
205371,59766.0,1193.0
534324,0.0,0.0
541008,87102.0,0.0
280659,42947.0,326.0
690776,58135.0,457.0
477787,25559.0,0.0
142545,58476.0,447.0
892556,0.0,0.0
643225,54450.0,408.0
848185,55792.0,691.0
573986,16665.0,0.0
295138,22024.0,409.0
759017,65278.0,2094.0
973357,66900.0,879.0
597532,47549.0,658.0
238193,46590.0,1110.0
450125,0.0,0.0
535151,49887.0,759.0
274765,20675.0,0.0
434679,59435.0,1032.0
574492,0.0,0.0
601681,49565.0,1203.0
596327,36485.0,492.0
691855,0.0,0.0
190227,48809.0,0.0
243191,49489.0,424.0
601775,65634.0,1111.0
790813,49655.0,735.0
449441,182091.0,584.0
242387,134052.0,811.0
587619,63461.0,823.0
979330,19322.0,0.0
133730,47173.0,1441.0
184976,83479.0,3051.0
571845,0.0,0.0
346809,55968.0,0.0
321666,80476.0,1304.0
530113,21735.0,0.0
147891,42094.0,1882.0
958518,9091.0,0.0
314065,66780.0,1473.0
554255,10145.0,0.0
888901,5226.0,0.0
225262,85108.0,0.0
509044,57184.0,923.0
937430,40616.0,1193.0
921410,0.0,0.0
681722,68066.0,0.0
545638,1515.0,0.0
927339,48573.0,615.0
816608,75834.0,0.0
995734,57520.0,1733.0
240209,41693.0,0.0
739345,42462.0,1004.0
280602,0.0,0.0
373118,0.0,0.0
979075,120210.0,0.0
995693,14812.0,0.0
544561,37222.0,1231.0
275413,148848.0,1057.0
827288,22827.0,0.0
302908,58405.0,405.0
102982,34835.0,0.0
349539,38409.0,1087.0
831180,68073.0,0.0
347955,61562.0,0.0
415292,0.0,0.0
758113,73857.0,0.0
267474,34188.0,561.0
374421,1744.0,0.0
928153,49915.0,1633.0
436235,51367.0,1473.0
330783,50626.0,1015.0
670230,0.0,0.0
429238,82560.0,2991.0
419748,55254.0,361.0
918017,19512.0,0.0
199478,51961.0,1429.0
